Log analysis
2021-02-11 13:50:20 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:20 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 60374 5355 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP 192.168.56.1 224.0.0.252 60374 5355 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 60374 5355 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP 192.168.99.1 224.0.0.252 60374 5355 0 - - - - - - - SEND
2021-02-11 13:50:20 ALLOW UDP ::1 ::1 60377 60377 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:21 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:21 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::1:3 64442 5355 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 224.0.0.252 64442 5355 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::1:3 64442 5355 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.99.1 224.0.0.252 64442 5355 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 239.255.255.250 60378 1900 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.99.1 239.255.255.250 60379 1900 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 127.0.0.1 239.255.255.250 60380 1900 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 192.168.56.255 137 137 0 - - - - - - - SEND
2021-02-11 13:50:21 ALLOW UDP 192.168.56.1 192.168.56.255 137 137 0 - - - - - - - RECEIVE
2021-02-11 13:50:22 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:22 ALLOW UDP 192.168.56.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:22 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:22 ALLOW UDP 192.168.99.1 224.0.0.251 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:22 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - SEND
2021-02-11 13:50:22 ALLOW UDP fe80::ada7:ab40:ad8:3f32 ff02::fb 5353 5353 0 - - - - - - - RECEIVE
2021-02-11 13:50:22 ALLOW UDP fe80::2cb5:2535:ba30:cd7b ff02::fb 5353 5353 0 - - - - - - - SEND
